Iteration,Discriminator Loss,Generator Loss
8060,1.090974,0.241534
8070,0.823969,0.228732
8080,1.305175,0.563146
8090,1.299969,0.677019
8100,1.022798,0.260952
8110,1.303122,0.923924
8120,1.252871,0.654398
8130,1.159782,0.388463
8140,1.067853,0.484106
8150,0.981883,0.328973
8160,1.163084,0.331568
8170,0.942840,0.391575
8180,1.209770,0.611088
8190,0.764263,0.375189
8200,1.145698,0.327526
8210,0.974472,0.551832
8220,1.539743,0.591302
8230,1.209112,0.529474
8240,0.985889,0.423988
8250,1.430114,0.344594
8260,1.227544,0.723609
8270,1.197774,0.398275
8280,1.555733,0.355433
8290,1.074303,0.907396
8300,1.228132,0.638415
8310,0.833593,0.215696
8320,1.029407,0.376176
8330,1.255314,0.478939
8340,1.337878,0.792898
8350,1.102883,0.198124
8360,1.692410,0.344432
8370,1.119025,0.545995
8380,1.426100,0.388760
8390,0.900855,0.171086
8400,0.948481,0.257748
8410,1.384867,0.494868
8420,1.077277,0.620965
8430,1.204423,0.383797
8440,1.108159,0.780061
8450,1.240153,0.712323
8460,0.916855,0.307587
8470,1.203707,0.763588
8480,1.433440,0.287968
8490,1.056249,0.270354
8500,1.289840,0.466435
8510,1.192458,0.517491
8520,0.957884,0.414062
8530,1.244968,0.391979
8540,1.295096,0.403646
8550,1.087676,0.543721
8560,1.024064,0.303489
8570,1.239614,0.793777
8580,1.091964,0.517095
8590,1.094100,0.534251
8600,1.089360,0.432511
8610,1.049606,0.424921
8620,1.176902,0.446743
8630,1.254141,0.414609
8640,1.193584,0.630597
8650,1.225596,0.710533
8660,0.972859,0.325547
8670,1.083908,0.511047
8680,1.141553,0.453017
8690,1.239037,0.426915
8700,1.168414,0.462605
8710,1.257519,1.211675
8720,1.167917,0.565425
8730,1.317863,0.587087
8740,1.306138,0.899515
8750,1.233992,0.699547
8760,0.981518,0.327474
8770,1.302658,0.575758
8780,1.237389,0.698115
8790,1.301144,0.592682
8800,1.301272,0.613728
8810,1.363755,0.580861
8820,1.346984,0.557416
8830,1.308834,0.604336
8840,1.312800,0.593365
8850,1.273711,0.880839
8860,1.280445,0.629725
8870,1.292720,0.594418
8880,1.295012,0.637439
8890,1.090193,0.450599
8900,1.276356,0.589665
8910,1.276944,0.643962
8920,1.267644,0.643796
8930,1.213027,0.453897
8940,1.330570,0.554640
8950,1.332730,0.582831
8960,1.335676,0.588780
8970,1.264617,0.663115
8980,1.309087,0.575869
8990,1.329698,0.580940
9000,1.290094,0.534799
9010,1.326112,0.624951
9020,1.259048,0.612523
9030,1.388412,0.950133
9040,1.212866,0.436935
9050,1.269414,0.892416
9060,1.330312,0.621853
9070,1.249282,0.703404
9080,1.326651,0.630421
9090,1.296604,0.495442
9100,1.301314,0.622506
9110,1.273464,0.592606
9120,1.324977,0.604427
9130,1.312935,0.579324
9140,1.306700,0.613295
9150,1.288704,0.920966
9160,1.219840,0.734009
9170,1.332041,0.487404
9180,1.271449,0.721930
9190,1.266521,0.837502
9200,1.331522,0.865901
9210,1.311728,0.898623
9220,1.256232,0.883832
9230,1.321392,0.589019
9240,1.299500,0.568617
9250,1.225212,0.707012
9260,1.272226,0.629158
9270,1.269296,0.537238
9280,1.247925,0.586122
9290,1.284648,0.481054
9300,1.327555,0.665941
9310,1.277775,0.637945
9320,1.266420,0.653710
9330,1.302983,0.572279
9340,1.342596,0.616188
9350,1.322935,0.605093
9360,1.324517,0.561433
9370,1.155563,0.343468
9380,1.248247,0.588636
9390,1.235547,0.679561
9400,1.252286,0.632197
9410,1.258955,0.569061
9420,1.221601,0.749646
